epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1030.58,1.00939,1.21209,1.38569,0.4359,0.58254,0.48898,0.2839,1.44243,1.73443,1.9248,0.000584578,0.000584578,0.000584578
43,1056.81,1.00403,1.21056,1.38744,0.47003,0.60578,0.52717,0.30191,1.51086,1.71988,2.00402,0.000570944,0.000570944,0.000570944
44,1080.38,1.00307,1.20201,1.38048,0.44897,0.59916,0.51143,0.30556,1.47509,1.74746,1.98438,0.0005572,0.0005572,0.0005572
45,1104.64,0.99535,1.19367,1.38608,0.51025,0.54745,0.52382,0.31244,1.45101,1.82922,1.97898,0.000543358,0.000543358,0.000543358
46,1130.31,0.97242,1.14464,1.36376,0.4784,0.55864,0.51016,0.30733,1.45785,1.8035,1.98127,0.000529433,0.000529433,0.000529433
47,1156.21,0.99433,1.17922,1.37287,0.46913,0.60002,0.53773,0.31283,1.48666,1.75754,1.99075,0.000515439,0.000515439,0.000515439
48,1181.47,0.98285,1.13424,1.3632,0.52495,0.55213,0.51163,0.30741,1.45144,1.81253,1.95557,0.00050139,0.00050139,0.00050139
49,1208.23,0.95702,1.10635,1.35956,0.49646,0.58882,0.52727,0.31571,1.4425,1.67428,1.93309,0.000487298,0.000487298,0.000487298
50,1234.73,0.9519,1.10387,1.34779,0.51143,0.58744,0.51577,0.30496,1.46219,1.76578,1.99413,0.000473178,0.000473178,0.000473178
51,1260.39,0.94652,1.08971,1.34372,0.5455,0.51597,0.51372,0.30746,1.4727,1.85581,1.99894,0.000459045,0.000459045,0.000459045
52,1285.45,0.92942,1.08031,1.33358,0.48126,0.59406,0.52056,0.30765,1.47636,1.7507,2.02515,0.000444912,0.000444912,0.000444912
53,1310.42,0.91476,1.07764,1.32165,0.50787,0.51908,0.5129,0.29555,1.48353,1.78573,2.04438,0.000430792,0.000430792,0.000430792
54,1335.95,0.93484,1.0811,1.33794,0.54645,0.53876,0.5237,0.31477,1.41098,1.82412,1.95632,0.0004167,0.0004167,0.0004167
55,1366.76,0.90837,1.03183,1.31979,0.51835,0.51943,0.52102,0.3119,1.44448,1.84719,1.96844,0.000402651,0.000402651,0.000402651
56,1398.98,0.90983,1.02605,1.31629,0.60703,0.51159,0.53509,0.31427,1.47163,1.76525,2.01931,0.000388657,0.000388657,0.000388657
57,1429.15,0.88804,1.00216,1.29777,0.4935,0.54694,0.51872,0.30872,1.47904,1.83352,2.0542,0.000374732,0.000374732,0.000374732
58,1457.73,0.87606,0.99513,1.29191,0.51247,0.57485,0.54782,0.32432,1.46407,1.76261,2.00296,0.00036089,0.00036089,0.00036089
59,1486.1,0.88846,1.01669,1.30378,0.47516,0.57343,0.50957,0.30428,1.45676,1.81361,2.03908,0.000347146,0.000347146,0.000347146
60,1511.62,0.88167,0.98216,1.30184,0.4742,0.60659,0.52864,0.31597,1.44109,1.80721,2.04239,0.000333512,0.000333512,0.000333512
61,1535.59,0.86402,0.96306,1.28665,0.49696,0.55189,0.53578,0.31548,1.45335,1.87212,2.06179,0.000320001,0.000320001,0.000320001
