epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2102.42,1.10836,1.02772,1.4312,0.84068,0.83595,0.87535,0.59926,1.05612,0.92183,1.48743,0.00107205,0.00107205,0.00107205
43,2140.65,1.09646,0.99294,1.4017,0.87182,0.83358,0.88331,0.61901,1.04895,0.87584,1.46361,0.00104705,0.00104705,0.00104705
44,2179.01,1.09002,1.00362,1.41268,0.86245,0.84175,0.87194,0.61886,0.98335,0.84315,1.40756,0.00102184,0.00102184,0.00102184
45,2216.86,1.09798,1.02734,1.42063,0.88264,0.82353,0.8887,0.60247,1.06438,0.87948,1.467,0.000996456,0.000996456,0.000996456
46,2256.74,1.08323,0.99288,1.40616,0.83637,0.8134,0.85779,0.62304,0.95349,0.95856,1.38758,0.000970919,0.000970919,0.000970919
47,2286.06,1.09758,0.99434,1.40979,0.84076,0.84204,0.87765,0.60604,1.02625,0.9422,1.44572,0.000945256,0.000945256,0.000945256
48,2301.99,1.07708,0.9822,1.40199,0.85806,0.84392,0.87151,0.60079,1.0291,0.86189,1.44955,0.00091949,0.00091949,0.00091949
49,2318.73,1.06986,0.99233,1.39545,0.84657,0.83569,0.87061,0.59882,1.04305,0.8857,1.49483,0.000893648,0.000893648,0.000893648
50,2334.8,1.05966,0.95314,1.38429,0.83867,0.88292,0.88125,0.61611,0.98863,0.81926,1.41289,0.000867754,0.000867754,0.000867754
51,2350.55,1.06237,0.956,1.39423,0.90577,0.86856,0.91507,0.64438,0.9687,0.739,1.41255,0.000841835,0.000841835,0.000841835
52,2366.33,1.03195,0.90336,1.3749,0.80478,0.84327,0.86172,0.61414,0.99861,0.90311,1.41818,0.000815916,0.000815916,0.000815916
53,2382.5,1.05396,0.94054,1.37336,0.84321,0.83779,0.86231,0.61668,0.98078,0.85415,1.4243,0.000790022,0.000790022,0.000790022
54,2398.51,1.03628,0.94217,1.37732,0.84063,0.8945,0.89717,0.64748,0.9553,0.78402,1.38138,0.00076418,0.00076418,0.00076418
55,2413.61,1.03202,0.91589,1.36806,0.8344,0.83226,0.89921,0.62827,0.96603,0.80526,1.38529,0.000738414,0.000738414,0.000738414
56,2428.55,1.0305,0.93756,1.36982,0.84318,0.89847,0.91972,0.63691,0.98171,0.75522,1.40475,0.000712751,0.000712751,0.000712751
57,2443.43,1.02527,0.92879,1.36295,0.85014,0.82533,0.87012,0.62307,0.98983,0.83301,1.40076,0.000687214,0.000687214,0.000687214
58,2458.43,1.04715,0.92556,1.38336,0.8694,0.86218,0.90544,0.6333,0.9738,0.765,1.40267,0.000661831,0.000661831,0.000661831
59,2473.58,1.00615,0.8967,1.35341,0.88695,0.83438,0.89053,0.64036,0.94357,0.73019,1.37455,0.000636625,0.000636625,0.000636625
60,2488.42,1.02067,0.91904,1.36109,0.82051,0.82162,0.85643,0.60732,1.01292,0.88263,1.42647,0.000611621,0.000611621,0.000611621
61,2503.71,0.99273,0.90037,1.33929,0.8608,0.84785,0.89662,0.6214,0.97066,0.78031,1.3998,0.000586845,0.000586845,0.000586845
62,2519.19,1.00066,0.85938,1.34782,0.84633,0.88279,0.89308,0.63499,0.97833,0.75114,1.40202,0.00056232,0.00056232,0.00056232
63,2534.19,1.00977,0.88183,1.34969,0.85626,0.87458,0.88407,0.62234,0.97951,0.80957,1.40777,0.000538072,0.000538072,0.000538072
64,2548.95,1.00836,0.88804,1.34843,0.88467,0.85424,0.89757,0.63591,0.97634,0.77771,1.40477,0.000514122,0.000514122,0.000514122
65,2564.29,0.97405,0.86444,1.33128,0.85949,0.84368,0.886,0.6195,0.99468,0.7887,1.43337,0.000490497,0.000490497,0.000490497
66,2579.12,0.97239,0.84691,1.32919,0.86013,0.87437,0.90052,0.63321,0.97771,0.7855,1.39704,0.000467218,0.000467218,0.000467218
67,2593.86,0.97855,0.83495,1.32034,0.86752,0.85624,0.89987,0.6395,0.97413,0.73662,1.38956,0.000444309,0.000444309,0.000444309
68,2608.55,0.99103,0.8531,1.33389,0.88103,0.86218,0.90641,0.63093,0.96935,0.72664,1.39435,0.000421792,0.000421792,0.000421792
69,2623.37,0.99649,0.89549,1.34087,0.88003,0.87273,0.90844,0.64132,0.95819,0.7234,1.38535,0.000399689,0.000399689,0.000399689
70,2638.38,0.96972,0.83399,1.3221,0.88924,0.83779,0.89043,0.62419,0.97229,0.75759,1.41226,0.000378023,0.000378023,0.000378023
71,2654.14,0.96951,0.8577,1.32536,0.86668,0.89053,0.90264,0.6361,0.96993,0.76367,1.39566,0.000356815,0.000356815,0.000356815
72,2670.15,0.96367,0.84383,1.31646,0.86977,0.89082,0.91196,0.64555,0.97182,0.72811,1.40715,0.000336086,0.000336086,0.000336086
73,2685.35,0.95886,0.83652,1.32066,0.90019,0.89601,0.92036,0.64136,0.9627,0.68941,1.40066,0.000315855,0.000315855,0.000315855
74,2700.74,0.95017,0.83031,1.31017,0.86074,0.88047,0.90775,0.64768,0.95082,0.72171,1.38793,0.000296144,0.000296144,0.000296144
75,2715.44,0.95818,0.85356,1.31945,0.88261,0.84601,0.8844,0.63483,0.94619,0.71635,1.36664,0.000276971,0.000276971,0.000276971
76,2730.23,0.96305,0.85928,1.32286,0.87024,0.85007,0.89887,0.64988,0.91701,0.74074,1.34611,0.000258355,0.000258355,0.000258355
77,2749.49,0.96839,0.84099,1.33042,0.86173,0.8581,0.90498,0.64694,0.94963,0.71566,1.36664,0.000240316,0.000240316,0.000240316
78,2764.66,0.94398,0.83695,1.31631,0.90437,0.83773,0.90821,0.64586,0.95741,0.72882,1.37475,0.00022287,0.00022287,0.00022287
79,2780.43,0.9436,0.80787,1.30772,0.88369,0.8516,0.90696,0.64163,0.95186,0.71487,1.38146,0.000206034,0.000206034,0.000206034
80,2795.66,0.91399,0.78823,1.28699,0.8711,0.86967,0.91495,0.64835,0.936,0.70361,1.36905,0.000189827,0.000189827,0.000189827
