epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1428.61,0.57897,0.50524,1.00061,0.95151,0.93809,0.97513,0.86852,0.55069,0.36936,0.99143,0.000306116,0.000306116,0.000306116
43,1459.43,0.57227,0.49462,1.00007,0.94837,0.92911,0.96691,0.85532,0.55316,0.37418,0.98748,0.000298976,0.000298976,0.000298976
44,1491.13,0.57301,0.49824,0.99904,0.95388,0.92603,0.97001,0.8667,0.52788,0.37001,0.98788,0.000291779,0.000291779,0.000291779
45,1523.26,0.56855,0.48983,0.99185,0.94869,0.95252,0.9704,0.86736,0.52912,0.35974,0.99064,0.000284531,0.000284531,0.000284531
46,1554.91,0.56529,0.47688,0.99382,0.94479,0.93339,0.96548,0.86297,0.54087,0.3739,0.99461,0.000277239,0.000277239,0.000277239
47,1587.57,0.57007,0.49115,1.0006,0.95672,0.92792,0.96947,0.86588,0.53951,0.36328,0.99325,0.000269911,0.000269911,0.000269911
48,1621.04,0.56039,0.46405,0.99418,0.93458,0.93612,0.97148,0.86426,0.53175,0.37696,0.99218,0.000262554,0.000262554,0.000262554
49,1654.57,0.55074,0.46264,0.98659,0.94493,0.94166,0.9713,0.87315,0.52206,0.35398,0.98858,0.000255175,0.000255175,0.000255175
50,1686.72,0.55521,0.46009,0.99249,0.95643,0.93639,0.96223,0.85763,0.53007,0.36612,0.9858,0.000247781,0.000247781,0.000247781
51,1772.84,0.54396,0.47271,0.9824,0.95394,0.92024,0.96477,0.86686,0.52469,0.3652,0.98126,0.00024038,0.00024038,0.00024038
52,1804.08,0.54489,0.46149,0.98473,0.958,0.93771,0.96577,0.85955,0.53646,0.35007,0.98982,0.000232979,0.000232979,0.000232979
53,1834.39,0.53684,0.44402,0.98221,0.93791,0.93137,0.96326,0.86541,0.52426,0.35434,0.99035,0.000225585,0.000225585,0.000225585
54,1865.87,0.53586,0.44183,0.97529,0.9373,0.92618,0.96609,0.87092,0.51739,0.36871,0.98835,0.000218206,0.000218206,0.000218206
55,1897.28,0.53958,0.43677,0.9848,0.93685,0.94934,0.96529,0.86732,0.52065,0.35743,0.98514,0.000210849,0.000210849,0.000210849
56,1928.95,0.53979,0.43594,0.98222,0.95808,0.92468,0.96538,0.87107,0.51276,0.35203,0.97664,0.000203521,0.000203521,0.000203521
57,1969.88,0.5365,0.44119,0.98197,0.95261,0.93768,0.97061,0.87446,0.52105,0.33839,0.97991,0.000196229,0.000196229,0.000196229
58,2000.73,0.5313,0.42735,0.97999,0.95372,0.94018,0.97419,0.87522,0.5138,0.33607,0.97885,0.000188981,0.000188981,0.000188981
59,2032.82,0.52119,0.42533,0.97755,0.95521,0.93903,0.96599,0.87177,0.51582,0.34626,0.97463,0.000181784,0.000181784,0.000181784
60,2064.2,0.51765,0.41844,0.97353,0.94138,0.94685,0.97036,0.8724,0.51911,0.33886,0.98357,0.000174644,0.000174644,0.000174644
61,2096.59,0.52569,0.41906,0.97484,0.95313,0.94276,0.97215,0.8743,0.5237,0.3398,0.97783,0.000167569,0.000167569,0.000167569
62,2128.55,0.51303,0.41128,0.97409,0.94293,0.94593,0.97343,0.87554,0.51837,0.33959,0.98581,0.000160567,0.000160567,0.000160567
63,2161,0.51571,0.40905,0.97397,0.95364,0.94242,0.9738,0.87594,0.51444,0.34302,0.98714,0.000153642,0.000153642,0.000153642
64,2192.06,0.49877,0.402,0.96482,0.94068,0.95241,0.96928,0.87233,0.51473,0.33747,0.985,0.000146804,0.000146804,0.000146804
65,2223.91,0.51211,0.39585,0.96635,0.9618,0.93307,0.97017,0.87222,0.51288,0.33771,0.98455,0.000140058,0.000140058,0.000140058
66,2255.53,0.50966,0.40316,0.9723,0.95658,0.93939,0.96986,0.87433,0.5027,0.33317,0.9736,0.000133411,0.000133411,0.000133411
67,2286.9,0.5035,0.40572,0.96889,0.93889,0.94927,0.97052,0.87495,0.50473,0.33601,0.97636,0.000126869,0.000126869,0.000126869
68,2319.33,0.51232,0.39811,0.97336,0.9411,0.94706,0.97213,0.8778,0.50323,0.32392,0.97642,0.00012044,0.00012044,0.00012044
69,2374.43,0.49458,0.39414,0.9598,0.93978,0.93894,0.9687,0.87793,0.50503,0.33846,0.97739,0.000114128,0.000114128,0.000114128
70,2405.67,0.49211,0.38701,0.96206,0.93872,0.95097,0.97138,0.87552,0.5055,0.32502,0.97763,0.000107942,0.000107942,0.000107942
71,2436.49,0.49825,0.38972,0.96389,0.9438,0.94092,0.96877,0.87393,0.51493,0.32793,0.9905,0.000101886,0.000101886,0.000101886
72,2468.05,0.4854,0.38855,0.95877,0.95238,0.9384,0.96926,0.87683,0.50432,0.32721,0.97765,9.59668e-05,9.59668e-05,9.59668e-05
73,2499.02,0.49004,0.37826,0.95854,0.94343,0.9427,0.97124,0.87362,0.51007,0.34156,0.98027,9.01902e-05,9.01902e-05,9.01902e-05
74,2530.3,0.48455,0.36741,0.9581,0.96381,0.92782,0.97083,0.87525,0.51479,0.33092,0.98612,8.45617e-05,8.45617e-05,8.45617e-05
75,2562.04,0.48404,0.37966,0.95734,0.95429,0.93798,0.97068,0.87635,0.49981,0.32691,0.97523,7.9087e-05,7.9087e-05,7.9087e-05
76,2593.52,0.48085,0.37031,0.95447,0.9599,0.93553,0.97056,0.87942,0.49668,0.31804,0.97331,7.37715e-05,7.37715e-05,7.37715e-05
77,2625.21,0.47633,0.3696,0.94974,0.95162,0.93664,0.97078,0.87679,0.50092,0.32243,0.97555,6.86204e-05,6.86204e-05,6.86204e-05
78,2655.96,0.47881,0.3665,0.95409,0.96034,0.93861,0.97563,0.88369,0.49922,0.31471,0.97166,6.36388e-05,6.36388e-05,6.36388e-05
79,2805.84,0.48773,0.37,0.95956,0.95778,0.93929,0.97633,0.88115,0.49969,0.3175,0.97344,5.88317e-05,5.88317e-05,5.88317e-05
80,2836.51,0.4714,0.36978,0.95374,0.94403,0.94811,0.9723,0.87942,0.49954,0.32259,0.97355,5.42037e-05,5.42037e-05,5.42037e-05
81,2867.15,0.47161,0.35941,0.95385,0.94572,0.9462,0.97301,0.88302,0.49595,0.32208,0.97634,4.97594e-05,4.97594e-05,4.97594e-05
82,2897.74,0.46943,0.35537,0.946,0.94683,0.9447,0.97334,0.88376,0.4925,0.32401,0.97555,4.55033e-05,4.55033e-05,4.55033e-05
83,2929.26,0.46687,0.35581,0.9467,0.95773,0.93284,0.97178,0.88117,0.49406,0.32543,0.97249,4.14395e-05,4.14395e-05,4.14395e-05
84,2960.98,0.46859,0.36668,0.95029,0.95521,0.94319,0.9709,0.87811,0.49507,0.32315,0.97139,3.7572e-05,3.7572e-05,3.7572e-05
85,2992.63,0.46208,0.35386,0.94661,0.95106,0.93568,0.97118,0.88094,0.4933,0.32649,0.97289,3.39046e-05,3.39046e-05,3.39046e-05
86,3024.5,0.46692,0.35842,0.95694,0.93921,0.95051,0.97243,0.88105,0.4985,0.3208,0.9737,3.0441e-05,3.0441e-05,3.0441e-05
87,3056.87,0.4606,0.35162,0.94976,0.94097,0.94807,0.9714,0.8813,0.49578,0.32647,0.97737,2.71846e-05,2.71846e-05,2.71846e-05
