epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2676,0.69108,0.61748,1.06465,0.93111,0.9187,0.96749,0.81744,0.61306,0.45934,1.03683,0.000401938,0.000401938,0.000401938
43,2728.11,0.68113,0.59875,1.06436,0.94145,0.92802,0.97566,0.83458,0.57509,0.40636,1.02043,0.000392563,0.000392563,0.000392563
44,2781.8,0.66544,0.59184,1.05388,0.93528,0.91101,0.96485,0.81777,0.59878,0.44786,1.02679,0.000383113,0.000383113,0.000383113
45,2836.75,0.66569,0.57549,1.04851,0.94531,0.92576,0.9728,0.82826,0.59781,0.40871,1.03136,0.000373596,0.000373596,0.000373596
46,2893.49,0.66661,0.59078,1.05512,0.91748,0.93672,0.9717,0.82777,0.60122,0.41965,1.0238,0.000364022,0.000364022,0.000364022
47,2947.65,0.66464,0.56093,1.04926,0.94315,0.94624,0.97498,0.82727,0.59463,0.3946,1.03741,0.0003544,0.0003544,0.0003544
48,3001.59,0.67767,0.56202,1.05507,0.95771,0.92169,0.97415,0.82807,0.60721,0.39515,1.02902,0.00034474,0.00034474,0.00034474
49,3056.1,0.65778,0.55166,1.0497,0.94684,0.92708,0.97614,0.82683,0.60542,0.40061,1.03256,0.000335051,0.000335051,0.000335051
50,3113.35,0.65731,0.55993,1.04312,0.93903,0.95084,0.97939,0.83219,0.5855,0.38405,1.02898,0.000325343,0.000325343,0.000325343
51,3166.01,0.63649,0.52995,1.04158,0.94742,0.93081,0.97181,0.83417,0.58837,0.39996,1.01279,0.000315625,0.000315625,0.000315625
52,3220.96,0.64708,0.54093,1.03874,0.95899,0.93904,0.97977,0.83494,0.58614,0.391,1.02746,0.000305907,0.000305907,0.000305907
53,3275.42,0.64864,0.53851,1.03714,0.93279,0.93173,0.97715,0.83552,0.58147,0.3965,1.01824,0.000296199,0.000296199,0.000296199
54,3331,0.6312,0.5187,1.03265,0.94225,0.92804,0.97359,0.83118,0.57302,0.39482,1.023,0.00028651,0.00028651,0.00028651
55,3386.71,0.63393,0.51989,1.03592,0.95006,0.96197,0.9789,0.84154,0.5656,0.35652,1.02277,0.00027685,0.00027685,0.00027685
56,3441.75,0.61993,0.50477,1.02645,0.96081,0.94427,0.97795,0.83533,0.57945,0.37128,1.02431,0.000267228,0.000267228,0.000267228
57,3496.08,0.6302,0.51124,1.03697,0.96231,0.93796,0.97617,0.83666,0.57884,0.37209,1.02434,0.000257654,0.000257654,0.000257654
58,3551.47,0.63051,0.51173,1.036,0.96135,0.92925,0.97647,0.84061,0.56498,0.37003,1.0107,0.000248137,0.000248137,0.000248137
59,3606.51,0.63041,0.5122,1.03438,0.96993,0.95051,0.98237,0.84418,0.56595,0.34303,1.02042,0.000238687,0.000238687,0.000238687
60,3659.69,0.60812,0.48474,1.01822,0.96468,0.94376,0.97967,0.84444,0.56512,0.35077,1.00172,0.000229312,0.000229312,0.000229312
61,3712.4,0.60747,0.47884,1.02465,0.95026,0.95902,0.97787,0.84245,0.55846,0.35919,1.00762,0.000220023,0.000220023,0.000220023
62,3764.01,0.60427,0.47551,1.02135,0.9599,0.95843,0.98341,0.85106,0.56034,0.33194,0.99421,0.000210828,0.000210828,0.000210828
63,3817.5,0.60627,0.46916,1.02343,0.95862,0.94185,0.97608,0.84753,0.55456,0.34695,1.00719,0.000201736,0.000201736,0.000201736
64,3868.85,0.59397,0.46724,1.01261,0.94853,0.94327,0.97214,0.83742,0.56794,0.37562,1.00241,0.000192757,0.000192757,0.000192757
65,3919.26,0.59095,0.47158,1.01144,0.9707,0.95533,0.98105,0.84943,0.56616,0.32898,1.00194,0.0001839,0.0001839,0.0001839
66,3969.34,0.58224,0.46407,1.01238,0.96695,0.95685,0.97613,0.84213,0.55967,0.33918,1.01097,0.000175172,0.000175172,0.000175172
67,4020.15,0.58535,0.45338,1.00983,0.97187,0.95423,0.98055,0.85321,0.55782,0.32991,0.99906,0.000166582,0.000166582,0.000166582
68,4070.12,0.59642,0.45357,1.01895,0.96777,0.95935,0.98165,0.85141,0.54227,0.32539,0.99545,0.00015814,0.00015814,0.00015814
69,4120.95,0.57552,0.43651,1.00962,0.96742,0.95568,0.98254,0.85705,0.54052,0.3154,1.00341,0.000149854,0.000149854,0.000149854
70,4172.48,0.57205,0.43491,1.00514,0.96973,0.95405,0.98387,0.85506,0.55559,0.31791,1.00702,0.00014173,0.00014173,0.00014173
71,4223.66,0.56639,0.42068,1.00435,0.95823,0.9583,0.98395,0.85777,0.55284,0.31649,0.99664,0.000133779,0.000133779,0.000133779
72,4276.06,0.56508,0.42154,0.99995,0.9663,0.95616,0.97832,0.85085,0.55186,0.32343,0.99386,0.000126007,0.000126007,0.000126007
73,4329.9,0.56941,0.42716,1.00102,0.95733,0.9651,0.98194,0.8572,0.54946,0.32419,0.99493,0.000118422,0.000118422,0.000118422
74,4382.46,0.55669,0.42783,0.99332,0.96632,0.95932,0.98215,0.8611,0.54423,0.31384,0.99704,0.000111032,0.000111032,0.000111032
75,4437.52,0.56827,0.42993,1.00214,0.97201,0.95343,0.9816,0.8563,0.54128,0.31247,0.99117,0.000103843,0.000103843,0.000103843
76,4488.71,0.54503,0.40947,0.98969,0.97233,0.96003,0.98274,0.85988,0.54464,0.30183,1.00292,9.68638e-05,9.68638e-05,9.68638e-05
77,4540.82,0.55734,0.4064,0.99424,0.95629,0.96503,0.98048,0.86033,0.5328,0.30744,0.99047,9.01003e-05,9.01003e-05,9.01003e-05
78,4593.46,0.55855,0.41934,1.00352,0.97529,0.95317,0.98111,0.85894,0.53847,0.30692,0.99146,8.35594e-05,8.35594e-05,8.35594e-05
79,4645.37,0.53387,0.39902,0.98642,0.96752,0.95589,0.98158,0.85989,0.53924,0.31088,0.99282,7.72475e-05,7.72475e-05,7.72475e-05
